NAME,REGEX_ID,CREATION_TIMESTAMP,START_TIMESTAMP,END_TIMESTAMP
22201024,4,18/11/2013 10:31:06.000000,18/11/2013 10:31:06.000000,
22201366,4,18/11/2013 10:31:08.000000,18/11/2013 10:31:08.000000,
22201500,4,18/11/2013 10:31:09.000000,18/11/2013 10:31:09.000000,
22200793,3,25/08/2011 00:02:45.000000,25/08/2011 00:02:45.000000,
22201954,4,18/11/2013 10:31:09.000000,18/11/2013 10:31:09.000000,
22200816,3,25/08/2011 00:02:45.000000,25/08/2011 00:02:45.000000,
22202641,4,18/11/2013 10:31:10.000000,18/11/2013 10:31:10.000000,
22200870,3,25/08/2011 00:02:45.000000,25/08/2011 00:02:45.000000,
22200870,4,25/08/2011 00:02:46.000000,25/08/2011 00:02:46.000000,
22200136,4,25/03/2015 08:47:49.000000,25/03/2015 08:47:49.000000,
22200888,3,25/08/2011 00:02:46.000000,25/08/2011 00:02:46.000000,
22203136,4,18/11/2013 10:31:12.000000,18/11/2013 10:31:12.000000,
22200912,3,25/08/2011 00:02:46.000000,25/08/2011 00:02:46.000000,
22200933,3,25/08/2011 00:02:46.000000,25/08/2011 00:02:46.000000,
22200438,4,25/03/2015 08:47:49.000000,25/03/2015 08:47:49.000000,
22200539,4,25/03/2015 08:47:50.000000,25/03/2015 08:47:50.000000,
22200243,4,24/03/2014 11:24:31.000000,24/03/2014 11:24:31.000000,
22200334,4,24/03/2014 11:24:32.000000,24/03/2014 11:24:32.000000,
22204171,4,18/11/2013 10:31:17.000000,18/11/2013 10:31:17.000000,
22200746,4,25/03/2015 08:47:51.000000,25/03/2015 08:47:51.000000,
22204638,4,18/11/2013 10:31:19.000000,18/11/2013 10:31:19.000000,
22201110,3,25/08/2011 00:02:47.000000,25/08/2011 00:02:47.000000,
22201137,3,25/08/2011 00:02:47.000000,25/08/2011 00:02:47.000000,
22201138,3,25/08/2011 00:02:47.000000,25/08/2011 00:02:47.000000,
22201138,4,25/08/2011 00:02:47.000000,25/08/2011 00:02:47.000000,
22201145,3,25/08/2011 00:02:47.000000,25/08/2011 00:02:47.000000,
22201145,4,25/08/2011 00:02:47.000000,25/08/2011 00:02:47.000000,
22205219,4,18/11/2013 10:31:20.000000,18/11/2013 10:31:20.000000,
22201171,3,25/08/2011 00:02:47.000000,25/08/2011 00:02:47.000000,
22200793,4,25/03/2015 08:47:52.000000,25/03/2015 08:47:52.000000,
22201212,4,25/08/2011 00:02:48.000000,25/08/2011 00:02:48.000000,
22210695,4,18/11/2013 10:31:22.000000,18/11/2013 10:31:22.000000,
22210782,4,18/11/2013 10:31:22.000000,18/11/2013 10:31:22.000000,
22201278,3,25/08/2011 00:02:48.000000,25/08/2011 00:02:48.000000,
22201278,4,25/08/2011 00:02:48.000000,25/08/2011 00:02:48.000000,
22201287,3,25/08/2011 00:02:48.000000,25/08/2011 00:02:48.000000,
22211042,4,18/11/2013 10:31:23.000000,18/11/2013 10:31:23.000000,
22201171,4,25/03/2015 08:47:52.000000,25/03/2015 08:47:52.000000,
22201325,3,25/08/2011 00:02:48.000000,25/08/2011 00:02:48.000000,
22211412,4,18/11/2013 10:31:25.000000,18/11/2013 10:31:25.000000,
22201671,4,25/03/2015 08:47:53.000000,25/03/2015 08:47:53.000000,
22241787,3,04/01/2013 19:02:12.000000,04/01/2013 19:02:12.000000,
22204447,4,24/03/2014 11:24:37.000000,24/03/2014 11:24:37.000000,
22205019,4,24/03/2014 11:24:39.000000,24/03/2014 11:24:39.000000,
22201721,4,25/03/2015 08:47:54.000000,25/03/2015 08:47:54.000000,
22202391,4,25/03/2015 08:47:56.000000,25/03/2015 08:47:56.000000,
22201685,3,25/08/2011 00:02:49.000000,25/08/2011 00:02:49.000000,
22201758,3,25/08/2011 00:02:49.000000,25/08/2011 00:02:49.000000,
22201758,4,25/08/2011 00:02:49.000000,25/08/2011 00:02:49.000000,
22212189,4,18/11/2013 10:31:30.000000,18/11/2013 10:31:30.000000,
22201839,3,25/08/2011 00:02:50.000000,25/08/2011 00:02:50.000000,
22212225,4,18/11/2013 10:31:31.000000,18/11/2013 10:31:31.000000,
22210758,4,24/03/2014 11:24:42.000000,24/03/2014 11:24:42.000000,
22213802,4,18/11/2013 10:31:33.000000,18/11/2013 10:31:33.000000,
22214197,4,18/11/2013 10:31:35.000000,18/11/2013 10:31:35.000000,
22201951,3,25/08/2011 00:02:50.000000,25/08/2011 00:02:50.000000,
22202677,4,25/03/2015 08:47:57.000000,25/03/2015 08:47:57.000000,
22202035,3,25/08/2011 00:02:50.000000,25/08/2011 00:02:50.000000,
22202035,4,25/08/2011 00:02:50.000000,25/08/2011 00:02:50.000000,
22202038,3,25/08/2011 00:02:50.000000,25/08/2011 00:02:50.000000,
22202042,3,25/08/2011 00:02:50.000000,25/08/2011 00:02:50.000000,
22202042,4,25/08/2011 00:02:50.000000,25/08/2011 00:02:50.000000,
22202046,3,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22214739,4,18/11/2013 10:31:36.000000,18/11/2013 10:31:36.000000,
22202060,3,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22202060,4,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22241857,3,04/01/2013 19:02:13.000000,04/01/2013 19:02:13.000000,
22202078,3,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22202078,4,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22202081,3,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22213585,4,24/03/2014 11:24:47.000000,24/03/2014 11:24:47.000000,
22202104,3,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22213637,4,24/03/2014 11:24:47.000000,24/03/2014 11:24:47.000000,
22215595,4,18/11/2013 10:31:39.000000,18/11/2013 10:31:39.000000,
22202116,3,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22202167,3,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22202171,3,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22202200,3,25/08/2011 00:02:51.000000,25/08/2011 00:02:51.000000,
22215650,4,18/11/2013 10:31:39.000000,18/11/2013 10:31:39.000000,
22215893,4,18/11/2013 10:31:41.000000,18/11/2013 10:31:41.000000,
22214390,4,24/03/2014 11:24:48.000000,24/03/2014 11:24:48.000000,
22202244,3,25/08/2011 00:02:52.000000,25/08/2011 00:02:52.000000,
22216141,4,18/11/2013 10:31:43.000000,18/11/2013 10:31:43.000000,
22203963,4,25/03/2015 08:47:58.000000,25/03/2015 08:47:58.000000,
22202272,3,25/08/2011 00:02:52.000000,25/08/2011 00:02:52.000000,
22216605,4,18/11/2013 10:31:45.000000,18/11/2013 10:31:45.000000,
